Moreau et al name,subfamily,tribe,genus,Notes
Acanthomyops laticeps, looks like major taxonomic revision in group?,, ,
Acropyga epedana, Formicinae, Plagiolepidini, Acropyga ,
Adetomyrma sp.2b, Amblyoponinae,,  Adetomyrma ,
Aenictus sp.1, Dorylinae,, Aenictus ,
Aenictus sp.2, Dorylinae,, Aenictus ,
Amblyopone pallipes, Amblyoponinae,, Amblyopone ,
Aneuretus simoni, Aneuretinae,, Aneuretus  ,
Anochetus mayri, Ponerinae,, Ponerini ,
Anonychomyrma nitidiceps, Dolichoderinae, Leptomyrmecini, Anonychomyrma ,
Anoplolepis gracillipes, Formicinae, Plagiolepidini, Anoplolepis ,
Aphaenogaster texana, Myrmicinae, Stenammini, Aphaenogaster,
Apomyrma stygia, Amblyoponinae,, Apomyrma,
Apterostigma sp.,  Myrmicinae, Attini,  Apterostigma,
Atopomyrmex mocquerysi, Myrmicinae, Crematogastrini, Atopomyrmex,
Atta sp., Myrmicinae, Attini, Atta,
Azteca sp., Dolichoderinae, Leptomyrmecini, Azteca,
Bothriomyrmex hispanicus, Dolichoderinae, Bothriomyrmecini, Bothriomyrmex,
Brachymyrmex sp., Formicinae, Myrmelachistini, Brachymyrmex,
Calyptomyrmex beccari, Myrmicinae, Crematogastrini, Calyptomyrmex,
Camponotus ocreatus, Formicinae, Camponotini, Camponotus,
Cardiocondyla emeryi, Myrmicinae, Crematogastrini, Cardiocondyla,
Carebara sp., Myrmicinae, Crematogastrini, Carebara,
Cataglyphis ibericus, Formicinae, Formicini, Cataglyphis,
Cataulacus sp., Myrmicinae, Crematogastrini, Cataulacus,
Centromyrmex feae," 	Ponerinae", Ponerini, Centromyrmex,
Cephalotes unimaculatus, Myrmicinae, Attini, Cephalotes,
Cerapachys augustae, Dorylinae, , Cerapachys ,
Chyphotes sp., Bradynobaenidae, Chyphotinae, Chyphotes ,
Colobostruma unicorna, Myrmicinae, Attini, Colobostruma,
Concoctio concenta, Amblyoponinae,, Concoctio,
Crematogaster navajoa, Myrmicinae, Crematogastrini, Crematogaster,
Cryptopone gilva, Ponerinae, Ponerini, Cryptopone,
Cyphomyrmex sp., Myrmicinae, Attini, Cyphomyrmex,
Diacamma sp., Ponerinae, Ponerini, Diacamma,
Dilobocondyla sp., Myrmicinae, Crematogastrini, Dilobocondyla,
Dinopoenra gigantea, Ponerinae, Ponerini, Dinopoenra,
Discothyrea sp., Proceratiinae, Proceratiini, Discothyrea,
Dolichoderus imitator, Dolichoderinae, Dolichoderini, Dolichoderus,
Dorylus mayri, Dorylinae,, Dorylus,
Dorylus wilverthi, Dorylinae,, Dorylus,
Dorymyrmex elegans, Dolichoderinae, Leptomyrmecini, Dorymyrmex,
Eciton hamatum, Dorylinae, ,Eciton,
Ectatomma quadridens, Ectatomminae, Ectatommini, Ectatomma,
Euprenolepis negrosensis, Formicinae, Lasiini, Euprenolepis,
Eurhopalothrix sp., Myrmicinae, Attini, Eurhopalothrix,
Eutetramorium sp., Myrmicinae, Crematogastrini, Eutetramorium,
Evagetes sp., WASP,,,
Forelius sp., Dolichoderinae, Leptomyrmecini, Forelius,
Formica wheeleri, Formicinae, Formicini, Formica,
Formicoxenus provancheri,Myrmicinae, Crematogastrini,Formicoxenus,
Froggattella latispina, Dolichoderinae, Leptomyrmecini, Froggattella,
Gnamptogenys sp., Ectatomminae, Ectatommini, Gnamptogenys,
Goniomma hispanicum, Myrmicinae, Stenammini, Goniomma,
Heteroponera microps, Heteroponerinae, , Heteroponera,
Heteroponera panamensis, Heteroponerinae, , Heteroponera,
Hypoponera inexorata, Ponerinae, Ponerini, Hypoponera,
Iridomyrmex spadius, Dolichoderinae, Leptomyrmecini,Iridomyrmex,
Labidus spininodis, Dorylinae,,Labidus,
Lasius alienus, Formicinae, Lasiini, Lasius ,
