Moreau_et_al_name,subfamily,tribe,genus,Notes
Acanthomyops_laticeps,looks_like_major_taxonomic_revision_in_group?,,,
Acropyga_epedana,Formicinae,Plagiolepidini,Acropyga,
Adetomyrma_sp.2b,Amblyoponinae,,_Adetomyrma,
Aenictus_sp.1,Dorylinae,,Aenictus,
Aenictus_sp.2,Dorylinae,,Aenictus,
Amblyopone_pallipes,Amblyoponinae,,Amblyopone,Morph
Aneuretus_simoni,Aneuretinae,,Aneuretus,Morph
Anochetus_mayri,Ponerinae,,Ponerini,
Anonychomyrma_nitidiceps,Dolichoderinae,Leptomyrmecini,Anonychomyrma,
Anoplolepis_gracillipes,Formicinae,Plagiolepidini,Anoplolepis,
Aphaenogaster_texana,Myrmicinae,Stenammini,Aphaenogaster,
Apomyrma_stygia,Amblyoponinae,,Apomyrma,Morph
Apterostigma_sp.,_Myrmicinae,Attini,_Apterostigma,
Atopomyrmex_mocquerysi,Myrmicinae,Crematogastrini,Atopomyrmex,
Atta_sp.,Myrmicinae,Attini,Atta,
Azteca_sp.,Dolichoderinae,Leptomyrmecini,Azteca,
Bothriomyrmex_hispanicus,Dolichoderinae,Bothriomyrmecini,Bothriomyrmex,
Brachymyrmex_sp.,Formicinae,Myrmelachistini,Brachymyrmex,
Calyptomyrmex_beccari,Myrmicinae,Crematogastrini,Calyptomyrmex,
Camponotus_ocreatus,Formicinae,Camponotini,Camponotus,
Cardiocondyla_emeryi,Myrmicinae,Crematogastrini,Cardiocondyla,
Carebara_sp.,Myrmicinae,Crematogastrini,Carebara,
Cataglyphis_ibericus,Formicinae,Formicini,Cataglyphis,
Cataulacus_sp.,Myrmicinae,Crematogastrini,Cataulacus,
Centromyrmex_feae,Ponerinae,Ponerini,Centromyrmex,
Cephalotes_unimaculatus,Myrmicinae,Attini,Cephalotes,
Cerapachys_augustae,Dorylinae,,Cerapachys,
Chyphotes_sp.,Bradynobaenidae,Chyphotinae,Chyphotes,
Colobostruma_unicorna,Myrmicinae,Attini,Colobostruma,
Concoctio_concenta,Amblyoponinae,,Concoctio,Morph
Crematogaster_navajoa,Myrmicinae,Crematogastrini,Crematogaster,
Cryptopone_gilva,Ponerinae,Ponerini,Cryptopone,Morph
Cyphomyrmex_sp.,Myrmicinae,Attini,Cyphomyrmex,
Diacamma_sp.,Ponerinae,Ponerini,Diacamma,
Dilobocondyla_sp.,Myrmicinae,Crematogastrini,Dilobocondyla,
Dinopoenra_gigantea,Ponerinae,Ponerini,Dinopoenra,
Discothyrea_sp.,Proceratiinae,Proceratiini,Discothyrea,
Dolichoderus_imitator,Dolichoderinae,Dolichoderini,Dolichoderus,
Dorylus_mayri,Dorylinae,,Dorylus,
Dorylus_wilverthi,Dorylinae,,Dorylus,
Dorymyrmex_elegans,Dolichoderinae,Leptomyrmecini,Dorymyrmex,
Eciton_hamatum,Dorylinae,,Eciton,Morph
Ectatomma_quadridens,Ectatomminae,Ectatommini,Ectatomma,
Euprenolepis_negrosensis,Formicinae,Lasiini,Euprenolepis,
Eurhopalothrix_sp.,Myrmicinae,Attini,Eurhopalothrix,
Eutetramorium_sp.,Myrmicinae,Crematogastrini,Eutetramorium,
Evagetes_sp.,WASP,,,
Forelius_sp.,Dolichoderinae,Leptomyrmecini,Forelius,
Formica_wheeleri,Formicinae,Formicini,Formica,
Formicoxenus_provancheri,Myrmicinae,Crematogastrini,Formicoxenus,
Froggattella_latispina,Dolichoderinae,Leptomyrmecini,Froggattella,
Gnamptogenys_sp.,Ectatomminae,Ectatommini,Gnamptogenys,
Goniomma_hispanicum,Myrmicinae,Stenammini,Goniomma,
Heteroponera_microps,Heteroponerinae,,Heteroponera,
Heteroponera_panamensis,Heteroponerinae,,Heteroponera,
Hypoponera_inexorata,Ponerinae,Ponerini,Hypoponera,
