accepted_name, max_ma
Agroecomyrmex_duisburgi,38.00
Casaleia_eocenica,48.60                                                                 
Stigmatomma_groehni,38.00   
Burmomyrma_rossi,99.60   
Archaeopone_kzylzharica,93.90   
Brownimecia_clavata,93.90
Eotapinoma_macalpini,83.50
Procerapachys_sulcatus,38.00
Canapone_dentata,83.50
Titanomyrma_lubei,55.80
Kyromyrma_neffi,93.90
Formicium_berryi,41.30
Myanmyrma_gracilis,99.60
Eocynipites_xilutianensis,55.80
Quadrulicapito_longa,55.80
Ypresiomyrma_rebekkae,56.00
Afromyrma_petrosa,93.90
Formicidae,56.00
Paraponera_dieteri,20.44
Afropone_oculata,93.90
Bradoponera_electrina,38.00
Pseudomyrmex_saxulum,47.80
Gerontoformica_cretacica,105.30
Zigrasimecia_tonsora,99.60
Baikuris_maximus,105.30  
  
