taxon	age
Acanthoponera_minor	0
Amblyopone_pallipes	0
Aneuretus_simoni	0
Anomalomyrma_sp	0
Apomyrma_stygia	0
Brownimecia_clavata	92
Camelomecia	99
Cerapachys_sexspinus	0
Chalybion_californicum	0
Chyphotes_mellipes	99	
Formica_fusca	0
Gerontoformica_gracilis	100
Gerontoformica_magnus	100
Gerontoformica_pilosus	100
Gerontoformica_spiralis	100
Haidomyrmex_scimitarus	99
Haidomyrmodes_mammuthus	99
Haidoterminus_cippus	100
Heterogyna	0	
Hypoponera_opacior	0	
Kyromyrma	92
Lasius_californicus	0	
Leptanilla_swani	0	
Leptanilloides_nomada	0
Leptogenys_diminuta	0
Martialis_heureka	0
Metapolybia_cingulata	0	
Myanmyrma_gracilis	99
Myrmecia_nigriceps	0
Myrmica_americana	0
Nothomyrmecia_macrops	0	
Opamyrma_hungvuong	0
Paraponera_clavata	0
Platythyrea_punctata	0
Pogonomyrmex_californicus	0
Proceratium_stictum	0
Scolia_verticalis	0	
Sphecomyrma_freyi	92	
Tatuidris_tatusia	0
Tetraponera_punctulata	0	
Zigrasimecia	98
Acanthognathus_ocellatus_Ward2015	0
Acanthomyrmex_ferox_Ward2015	0
Acanthoponera_minor_Ward2015	0
Acanthostichus_davisi_Brady	0
Acanthostichus_kirbyi_Brady	0
Acanthostichus_punctiscapus_Brady	0
Acromyrmex_versicolor_Ward2015	0
Acropyga_acutiventris_Moreau_LaPolla	0
Acropyga_epedana_CSM_Moreau	0
Adelomyrmex_paratristani_Ward2015	0
Adelomyrmex_SC01_Ward2015	0
Adetomyrma_MAD02_Moreau	0
Adetomyrma_sp2b_CSM_Moreau	0
Adlerzia_froggatti_Ward2015	0
Aenictogiton_UG01_Brady	0
Aenictogiton_ZAM02_Moreau_Schmidt	0
Aenictogiton_ZM02_Brady	0
Aenictus_ceylonicus_Moreau_Schmidt	0
Aenictus_eugenii_Brady	0
Aenictus_GA03_Brady	0
Aenictus_sp1_CSM_Moreau	0
Aenictus_sp2_CSM_Moreau	0
Aenictus_turneri_Brady	0
Aglyptacros_cf_sulcatus_Moreau_Schmidt	0
Allomerus_octoarticulatus_Ward2015	0
Amblyopone_australis_Ward2015	0
Amyrmex_BR01_Brady	0
Ancyridris_polyrhachioides_nr_Ward2015	0
Aneuretus_simoni_Ward2015	0
Anillomyrma_AFRC_TZ_01_Ward2015	0
Anillomyrma_decamera_Ward2015	0
Ankylomyrma_coronacantha_Ward2015	0
Anochetus_emarginatus_Schmidt	0
Anochetus_madagascarensis_Moreau_Schmidt	0
Anochetus_mayri_CSM_Moreau_Schmidt	0
Anonychomyrma_gilberti_Ward2010	0
Anonychomyrma_itinerans_Ward2010	0
Anonychomyrma_nitidiceps_CSM_Moreau	0
Anoplolepis_gracilipes_Moreau_LaPolla_Sc	0
Aphaenogaster_albisetosa_Ward2015	0
Aphaenogaster_araneoides_Ward2015	0
Aphaenogaster_occidentalis_Ward2015	0
