taxon	age
Acanthoponera_minor	0
Amblyopone_pallipes	0
Aneuretus_simoni	0
Anomalomyrma_sp	0
Apomyrma_stygia	0
Brownimecia_clavata	92
Camelomecia	99
Cerapachys_sexspinus	0
Chalybion_californicum	0
Chyphotes_mellipes	99	
Formica_fusca	0
Gerontoformica_gracilis	100
Gerontoformica_magnus	100
Gerontoformica_pilosus	100
Gerontoformica_spiralis	100
Haidomyrmex_scimitarus	99
Haidomyrmodes_mammuthus	99
Haidoterminus_cippus	100
Heterogyna	0	
Hypoponera_opacior	0	
Kyromyrma	92
Lasius_californicus	0	
Leptanilla_swani	0	
Leptanilloides_nomada	0
Leptogenys_diminuta	0
Martialis_heureka	0
Metapolybia_cingulata	0	
Myanmyrma_gracilis	99
Myrmecia_nigriceps	0
Myrmica_americana	0
Nothomyrmecia_macrops	0	
Opamyrma_hungvuong	0
Paraponera_clavata	0
Platythyrea_punctata	0
Pogonomyrmex_californicus	0
Proceratium_stictum	0
Scolia_verticalis	0	
Sphecomyrma_freyi	92	
Tatuidris_tatusia	0
Tetraponera_punctulata	0	
Zigrasimecia	98
